Date,Open,High,Low,Close,Volume
2016-07-18,95.029,96.405,94.935,96.118,37154320
2016-07-19,95.858,96.281,95.647,96.157,22951066
2016-07-20,96.281,96.726,96.026,96.242,25611581
2016-07-21,96.118,97.253,95.445,95.732,31308316
2016-07-22,95.568,95.608,94.655,94.991,26810469
2016-07-25,94.596,95.165,93.317,93.719,39544478
2016-07-26,93.218,94.327,92.833,93.076,42020642
2016-07-27,100.38,100.47,98.93,99.118,93340016
2016-07-28,99.01,100.57,99,100.46,38585368
2016-07-29,100.32,100.67,99.82,100.34,25776115
2016-08-01,100.53,102.2,100.53,102.1,38189270
2016-08-02,102.1,102.12,100.14,100.6,32645529
2016-08-03,100.93,101.9,100.89,101.85,28429938
2016-08-04,102.2,102.61,101.91,102.49,26070047
2016-08-05,102.88,104.2,102.79,104.04,34592853
2016-08-08,104.08,104.9,103.73,104.9,26455339
2016-08-09,104.77,105.46,104.56,105.33,26327513
2016-08-10,105.23,105.42,104.31,104.55,23029362
2016-08-11,105.05,105.45,104.4,104.48,24106984
2016-08-12,104.33,104.97,104.33,104.72,18486434
2016-08-15,104.68,106.03,104.63,105.97,25290769
2016-08-16,106.12,106.71,105.73,105.89,33865391
2016-08-17,105.62,105.88,104.87,105.72,23484371
2016-08-18,105.75,106.09,105.54,105.6,19518366
2016-08-19,105.29,106.18,104.89,105.87,25345530
2016-08-22,105.38,105.56,104.4,105.04,25393966
2016-08-23,105.12,105.83,105.06,105.37,19612930
2016-08-24,105.09,105.27,104.23,104.58,23265689
2016-08-25,103.96,104.43,103.28,104.12,23661539
2016-08-26,103.98,104.5,102.92,103.51,27684830
2016-08-29,103.22,104.01,102.9,103.41,24196373
2016-08-30,102.42,103.11,102.12,102.6,23077509
2016-08-31,102.28,103.17,102.26,102.71,27578761
2016-09-01,102.75,103.39,102.24,103.32,25340614
2016-09-02,104.25,104.55,103.41,104.28,26615313
2016-09-06,104.45,104.83,104.08,104.25,24013289
2016-09-07,104.38,105.28,103.64,104.89,40163227
2016-09-08,103.82,103.84,101.87,102.14,51302254
2016-09-09,101.29,102.34,99.83,99.83,45480420
2016-09-12,99.371,102.34,99.252,102.07,42265611
2016-09-13,104.08,105.31,103.81,104.5,63265520
2016-09-14,105.25,109.41,105.13,108.2,109860428
2016-09-15,110.22,112.03,109.85,111.87,91486582
2016-09-16,111.44,112.42,110.4,111.25,72791069
2016-09-19,111.51,112.47,109.63,109.94,47913739
2016-09-20,109.43,110.48,108.92,109.93,35054534
2016-09-21,110.21,110.35,108.85,109.91,34313561
2016-09-22,110.7,111.27,110.36,110.95,30477321
2016-09-23,110.77,111.12,107.99,109.11,53409128
2016-09-26,108.08,109.77,107.99,109.27,29576451
2016-09-27,109.38,109.56,108.75,109.47,24685495
2016-09-28,110.05,110.97,109.8,110.31,29798136
2016-09-29,109.54,110.16,108.23,108.6,35789751
2016-09-30,108.87,109.75,108.23,109.43,34454211
2016-10-03,109.11,109.43,108.69,108.93,21534492
2016-10-04,109.44,110.66,109.03,109.38,30270963
2016-10-05,109.78,110.02,109.09,109.43,20655937
2016-10-06,110.06,110.69,109.51,110.25,28983765
2016-10-07,110.66,110.89,109.87,110.42,24751393
2016-10-10,111.35,113.01,111.05,112.35,36521922
2016-10-11,113.94,114.9,112.49,112.59,64332522
2016-10-12,113.6,114.2,113.01,113.59,38178506
2016-10-13,113.05,113.69,112.02,113.23,35206453
2016-10-14,114.12,114.39,113.38,113.87,35595358
2016-10-17,113.58,114.08,113.04,113.8,22731749
2016-10-18,114.4,114.43,113.7,113.72,22766740
2016-10-19,113.5,114,110.16,113.37,20174195
2016-10-20,113.12,113.63,112.62,113.31,24395915
2016-10-21,113.07,113.17,112.57,112.87,22577033
2016-10-24,113.35,113.98,113.25,113.89,23467979
2016-10-25,114.17,114.58,113.56,114.47,39824948
2016-10-26,110.66,112,109.69,111.89,66486746
2016-10-27,111.69,112.16,110.46,110.82,28951258
2016-10-28,110.23,111.53,109.82,110.08,35925450
2016-10-31,110.01,110.58,109.58,109.9,27291933
2016-11-01,109.82,110.13,107,107.93,45273214
2016-11-02,107.84,108.76,107.67,108.03,29267400
2016-11-03,107.99,108.45,106.6,106.87,27679971
2016-11-04,105.61,107.26,105.19,105.9,31692712
2016-11-07,107.1,107.52,106.51,107.42,32465834
2016-11-08,107.32,108.7,106.74,108.07,23608649
2016-11-09,106.92,108.32,105.13,107.89,57289845
2016-11-10,108.1,108.1,102.98,104.87,57891147
2016-11-11,104.22,105.92,103.67,105.51,34654268
2016-11-14,104.8,104.89,101.26,102.86,52595602
2016-11-15,103.69,104.77,103.3,104.21,33159837
2016-11-16,103.82,107.24,103.72,107.02,59753710
2016-11-17,106.85,107.36,105.89,106.98,27235422
2016-11-18,106.76,107.55,106.7,107.08,27008203
2016-11-21,107.14,108.97,107.04,108.71,28069039
2016-11-22,108.93,109.38,108.39,108.78,23024481
2016-11-23,108.35,108.5,107.34,108.23,25402126
2016-11-25,108.14,108.85,107.96,108.77,11373097
2016-11-28,108.42,109.43,108.38,108.56,25800919
2016-11-29,107.79,109.01,107.09,108.45,28437685
2016-11-30,108.59,109.17,107.28,107.53,33872042
2016-12-01,107.38,107.95,106.08,106.54,35850274
2016-12-02,106.22,107.11,105.91,106.93,24522222
2016-12-05,107.03,107.06,105.33,106.16,33194364
2016-12-06,106.55,107.37,106.24,106.98,25887316
2016-12-07,106.31,108.19,106.21,108.04,30123897
2016-12-08,107.87,109.39,107.61,109.1,26601736
2016-12-09,109.28,111.6,109.28,110.87,34288468
2016-12-12,110.23,111.89,109.45,110.24,26636678
2016-12-13,110.77,112.79,110.68,112.08,43098732
2016-12-14,111.93,113.06,111.87,112.08,33257719
2016-12-15,112.27,113.58,112.12,112.69,44598620
2016-12-16,113.32,113.35,112.53,112.84,39778103
2016-12-19,112.67,114.2,112.63,113.49,27033022
2016-12-20,113.59,114.32,113.53,113.8,19405171
2016-12-21,113.65,114.22,113.63,113.9,22241515
2016-12-22,113.21,113.36,112.52,113.15,25859777
2016-12-23,112.47,113.37,112.47,113.37,14159169
2016-12-27,113.37,114.62,113.34,114.1,17990945
2016-12-28,114.34,114.84,113.06,113.61,19844686
2016-12-29,113.3,113.95,113.25,113.58,15160404
2016-12-30,113.5,114.04,112.32,112.69,31435020
2017-01-03,112.67,113.19,111.65,113.01,28509939
2017-01-04,112.72,113.36,112.63,112.89,21089951
2017-01-05,112.79,113.71,112.68,113.46,22297878
2017-01-06,113.63,114.98,113.32,114.73,31780334
2017-01-09,114.77,116.2,114.76,115.77,32514763
2017-01-10,115.56,116.15,115.11,115.89,21773300
2017-01-11,115.53,116.69,115.4,116.52,27180360
2017-01-12,115.67,116.07,115.02,116.03,27410371
2017-01-13,115.89,116.39,115.6,115.82,26100769
2017-01-17,115.15,116.99,115.03,116.76,32810409
2017-01-18,116.76,117.25,116.48,116.75,23203671
2017-01-19,116.17,116.85,116.14,116.55,24504623
2017-01-20,117.2,117.2,116.51,116.76,29203144
2017-01-23,116.76,117.56,116.54,116.85,20001069
2017-01-24,116.32,116.86,116.27,116.73,23219344
2017-01-25,117.17,118.8,117.03,118.58,32550804
2017-01-26,118.37,119.14,118.32,118.64,26059573
2017-01-27,118.84,119.05,118.32,118.65,20677328
2017-01-30,117.67,118.33,117.41,118.33,30568296
2017-01-31,117.88,118.11,117.37,118.08,41017687
2017-02-01,123.6,126.97,123.58,125.27,113322578
2017-02-02,124.52,125.89,124.33,125.07,33017793
2017-02-03,124.85,125.69,124.71,125.58,25187370
2017-02-06,125.63,126.98,125.42,126.78,26839865
2017-02-07,127.02,128.52,126.93,127.96,37242057
2017-02-08,127.81,128.65,127.68,128.47,22058305
2017-02-09,128.65,129.43,128.12,129.41,24595138
2017-02-10,129.45,129.91,129.05,129.12,19771619
2017-02-13,130.05,130.76,129.73,130.26,22628940
2017-02-14,130.43,132.01,130.22,131.94,31783809
2017-02-15,132.44,133.16,131.56,132.43,34416282
2017-02-16,132.59,132.8,131.77,132.27,22039898
2017-02-17,132.02,132.73,132.02,132.63,21619063
2017-02-21,133.12,133.63,132.88,133.58,22443985
2017-02-22,133.32,134,133.01,133.99,18006958
2017-02-23,134.25,134.34,133.19,133.38,19041654
2017-02-24,132.81,133.54,132.2,133.54,21723308
2017-02-27,134.02,134.3,133.17,133.81,19583559
2017-02-28,133.96,134.3,133.58,133.87,21642649
2017-03-01,134.75,136.95,134.46,136.61,35816412
2017-03-02,136.8,137.08,135.6,135.79,26164193
2017-03-03,135.62,136.65,135.44,136.6,20446042
2017-03-06,136.18,136.59,135.44,136.16,19385999
2017-03-07,135.89,136.78,135.63,136.34,17076440
2017-03-08,135.78,136.62,135.66,135.83,18388985
2017-03-09,135.58,135.63,133.93,135.52,21095308
2017-03-10,136.08,136.17,135.48,135.97,18919230
2017-03-13,135.99,136.25,135.66,136.03,17827867
2017-03-14,136.13,136.47,135.67,135.82,15665963
2017-03-15,136.23,137.55,135.85,137.26,26290725
2017-03-16,137.52,137.81,137.06,137.49,19680352
2017-03-17,137.79,137.79,136.7,136.79,38825017
2017-03-20,137.2,138.28,137.03,138.25,22044247
2017-03-21,138.88,139.54,136.55,136.66,40451470
2017-03-22,136.66,138.37,136.58,138.21,26463041
2017-03-23,138.05,138.35,137.41,137.71,20820634
2017-03-24,138.28,138.51,137.15,137.44,21920320
2017-03-27,136.21,138.01,135.46,137.67,22737589
2017-03-28,137.7,140.77,137.42,140.53,33519901
2017-03-29,140.41,141.2,139.93,140.84,28706779
2017-03-30,140.91,141.21,140.23,140.66,19137481
2017-03-31,140.45,140.99,139.75,140.39,19230928
2017-04-03,140.44,140.84,139.79,140.43,20451640
2017-04-04,139.99,141.59,139.91,141.47,19882868
2017-04-05,140.94,142.14,140.54,140.75,27646194
2017-04-06,141.01,141.23,140.18,140.39,20770504
2017-04-07,140.46,140.9,140,140.07,17060876
2017-04-10,140.33,140.61,139.64,139.91,17074984
2017-04-11,139.68,140.08,136.86,138.4,31087608
2017-04-12,138.37,138.91,137.8,138.57,20343326
2017-04-13,138.68,139.13,137.84,137.84,17541741
2017-04-17,138.26,138.65,137.66,138.6,15989331
2017-04-18,138.2,138.81,137.9,137.99,14391893
2017-04-19,138.65,138.77,137.25,137.48,16904281
2017-04-20,138.01,139.66,137.95,139.19,22910838
2017-04-21,139.19,139.42,138.62,139.03,17017861
2017-04-24,140.23,140.68,139.92,140.37,17517539
2017-04-25,140.64,141.6,140.6,141.24,19107286
2017-04-26,141.18,141.31,140.11,140.41,20483578
2017-04-27,140.65,140.88,140.04,140.52,14538865
2017-04-28,140.82,141.02,140,140.38,21346673
2017-05-01,141.78,143.85,141.65,143.25,34308692
2017-05-02,144.18,144.71,143.5,144.15,45468546
2017-05-03,142.27,144.13,140.99,143.72,46672874
2017-05-04,143.19,143.8,142.48,143.2,23890562
2017-05-05,143.43,145.59,143.43,145.57,27964813
2017-05-08,145.64,150.19,145.64,149.53,49819104
2017-05-09,150.36,151.35,149.94,150.48,39941918
2017-05-10,150.12,150.43,148.64,149.76,26381601
2017-05-11,149.6,151.18,149.46,151.07,27759876
2017-05-12,151.8,153.49,151.77,153.17,33050486
2017-05-15,153.08,153.72,152.15,152.77,26410191
2017-05-16,153.01,153.13,151.82,152.55,20378288
2017-05-17,150.72,151.68,146.9,147.42,51648159
2017-05-18,148.44,150.46,148.3,149.69,34209584
2017-05-19,150.5,151.1,149.76,150.18,27402272
2017-05-22,151.12,151.69,150.03,151.11,23372591
2017-05-23,152,152,150.43,150.92,20289345
2017-05-24,150.96,151.28,149.8,150.46,19573920
2017-05-25,150.85,151.46,150.15,150.99,19586288
2017-05-26,151.12,151.35,150.43,150.73,22310275
2017-05-30,150.54,151.54,150.45,150.79,20503410
2017-05-31,151.09,151.28,149.53,149.88,24923063
2017-06-01,150.29,150.45,149.37,150.3,16697455
2017-06-02,150.7,152.54,150.01,152.54,28233557
2017-06-05,151.45,151.56,150.58,151.05,25767740
2017-06-06,151.02,152.88,150.9,151.56,27102106
2017-06-07,152.12,153.05,151.59,152.46,21421990
2017-06-08,152.34,152.62,151.51,152.09,21550680
